77,191.102500
87,191.597500
66,192.036250
78,193.507500
103,194.220000
35,195.258750
64,197.200000
109,197.816250
82,197.998750
36,198.376250
81,198.762500
56,199.182500
38,199.387500
68,200.692500
113,201.201250
112,201.205000
48,201.830000
100,202.145000
98,202.162500
69,202.406250
72,202.406250
57,203.326250
54,203.330000
79,203.343750
65,203.737500
127,204.000000
75,204.255000
90,204.756250
71,205.228750
97,205.432500
80,206.326250
88,206.355000
53,206.591250
85,206.997500
50,207.775000
107,207.790000
119,207.873750
83,208.171250
101,209.120000
52,209.230000
104,209.861250
51,210.427500
86,210.956250
121,211.661250
111,212.661250
70,212.925000
37,213.663750
73,213.881250
123,215.230000
125,215.277500
117,215.586250
110,215.598750
122,215.660000
115,216.060000
116,216.136250
120,216.766250
102,217.036250
67,217.093750
106,218.277500
49,218.661250
105,218.662500
74,219.017500
89,219.573750
84,219.618750
91,219.618750
93,219.618750
55,220.173750
118,220.276250
108,222.063750
99,222.392500
61,222.487500
76,222.487500
124,224.400000
43,225.356250
63,226.445000
60,226.611250
62,226.611250
41,229.037500
40,229.095000
114,229.146250
47,230.120000
92,230.120000
42,231.665000
95,236.831250
33,237.350000
34,237.787500
94,238.288750
126,238.482500
59,239.010000
58,242.250000
44,245.385000
39,246.393750
45,247.350000
46,248.625000
96,250.081250
32,255.000000
